#OTU ID	1xHFWxCD	2xHFWxHFD	3xHFWxCD	4xHFWxHFD	5xHFWxCD	6xHFWxHFD	7xHFWxCD	8xHFWxHFD	9xHFWxCD	10xHFWxHFD	11xHFWxHFD	12xHFWxCD	13xSPFxCD	14xSPFxCD	15xSPFxCD	16xSPFxCD	17xSPFxCD	18xSPFxCD	19xSPFxHFD	20xSPFxHFD	21xSPFxHFD	22xSPFxHFD	23xSPFxHFD	24xSPFxHFD
Zotu63	0	229	0	259	0	224	0	342	0	386	443	0	23	0	0	0	0	0	444	172	381	124	143	253
Zotu52	0	192	0	255	0	189	0	217	109	81	139	318	0	75	48	140	15	103	78	26	144	188	44	55
Zotu252	0	219	0	24	0	28	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu201	0	93	0	3	0	31	0	74	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Zotu39	0	313	0	294	0	263	0	419	1	473	538	0	26	0	0	0	0	0	635	184	497	153	217	295
Zotu149	0	75	0	40	0	40	0	69	2	55	83	2	0	0	0	0	0	2	45	50	68	33	48	79
Zotu259	0	52	0	0	0	2	0	1	7	0	1	0	44	5	0	0	32	3	0	0	0	1	0	1
Zotu70	0	235	0	208	0	204	0	304	0	363	358	0	18	0	0	0	0	0	472	136	328	116	146	198
Zotu163	0	35	0	45	0	55	0	34	1	113	183	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu138	0	139	0	56	0	39	0	83	1	77	59	0	2	0	0	0	0	0	9	2	26	56	0	0
Zotu228	0	42	0	16	0	87	0	7	0	5	14	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu188	0	171	0	19	0	53	0	34	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Zotu193	0	149	0	2	0	9	0	17	0	13	35	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu338	0	16	0	5	0	11	0	4	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu227	0	8	0	5	5	4	0	30	0	37	12	0	13	7	7	29	0	11	2	19	1	1	27	6
Zotu261	0	12	0	11	0	9	0	9	1	14	9	8	11	7	7	6	3	5	6	2	10	6	5	6
Zotu218	0	55	0	3	0	128	0	13	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu249	0	88	0	2	0	29	1	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu282	0	8	1	9	0	9	3	11	3	8	8	6	2	3	3	5	2	2	0	3	6	2	23	19
Zotu262	0	27	0	9	0	10	0	7	1	8	10	7	2	0	0	0	0	0	3	4	8	5	2	12
Zotu125	0	223	0	163	0	204	0	117	19	147	149	27	0	0	0	0	0	0	0	0	0	0	0	1
Zotu155	0	40	0	35	0	26	2	55	1	148	191	0	0	0	0	0	1	0	8	3	6	0	4	1
Zotu371	0	3	0	3	2	7	0	4	0	1	0	6	1	0	1	0	0	0	3	1	4	8	3	1
Zotu285	0	13	0	0	0	0	0	4	0	11	47	0	0	0	0	0	0	0	2	1	0	2	8	5
Zotu169	0	11	0	13	0	6	0	7	0	5	17	0	0	0	0	0	0	0	77	37	91	93	29	40
Zotu296	0	11	0	7	0	8	0	9	0	0	5	0	10	0	0	1	1	10	0	7	0	1	10	0
Zotu89	0	66	1	16	0	74	0	77	4	199	222	8	106	3	15	19	162	97	67	8	54	122	11	49
Zotu335	0	20	0	10	0	16	0	5	0	21	5	0	2	0	1	0	0	0	5	4	5	13	3	4
Zotu374	0	2	0	1	0	3	0	3	0	2	2	0	2	2	0	3	1	4	0	2	0	2	3	0
Zotu158	0	43	0	37	0	24	0	65	0	149	195	1	0	0	0	0	0	0	0	0	0	0	0	0
Zotu203	0	19	0	19	0	14	0	30	1	26	26	6	0	0	0	0	0	0	14	6	20	2	17	0
Zotu357	0	27	0	0	0	0	0	0	0	0	0	0	0	2	0	1	2	0	0	0	0	0	0	0
Zotu321	0	11	0	4	0	7	0	8	0	0	0	0	2	0	0	5	3	3	2	3	0	0	2	2
Zotu135	0	129	1	0	0	0	1	6	0	0	0	0	30	107	50	117	108	30	1	0	0	0	1	1
Zotu181	0	23	1	15	2	6	1	38	0	63	12	3	10	6	8	33	7	16	4	39	0	0	40	13
Zotu313	0	45	0	15	0	13	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu336	0	13	0	13	0	15	0	7	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu344	0	5	0	5	0	3	0	6	3	11	9	4	0	0	0	0	0	0	0	0	0	0	0	0
Zotu351	0	1	0	2	0	8	1	0	0	0	1	3	0	4	4	0	4	3	0	2	0	0	9	0
Zotu288	0	2	0	6	0	14	0	9	0	21	20	0	0	0	0	0	0	1	1	0	0	1	1	0
Zotu173	0	7	0	20	0	7	0	6	0	4	6	0	38	34	31	43	45	75	0	2	0	0	0	1
Zotu359	0	3	1	3	0	7	1	23	0	1	0	0	0	0	0	0	2	0	1	1	0	0	1	1
Zotu366	0	4	0	2	0	1	0	4	1	1	10	1	0	0	0	0	0	0	1	1	3	0	1	0
Zotu194	0	17	0	9	0	6	0	10	1	3	6	3	4	0	0	6	5	0	31	5	48	50	9	38
Zotu230	0	36	0	62	0	34	0	0	0	5	98	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu274	0	28	0	30	0	7	0	19	0	6	8	0	7	0	0	0	0	0	0	0	0	0	0	0
Zotu184	0	118	1	11	4	47	0	19	32	6	28	13	1	0	0	0	0	1	4	0	0	0	0	3
Zotu316	0	9	0	25	0	14	0	26	0	0	7	0	1	0	0	0	1	0	2	0	1	1	1	0
Zotu350	0	22	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0
Zotu185	0	18	0	9	0	27	0	24	0	109	92	0	0	0	1	0	0	0	0	0	0	0	0	0
Zotu98	0	20	0	21	0	261	0	43	64	320	203	5	71	0	8	9	131	11	0	1	0	0	1	1
Zotu100	0	1	0	5	0	3	0	1	0	0	0	0	787	61	47	10	98	99	0	0	0	0	0	0
Zotu333	0	6	3	5	1	8	3	1	2	1	0	3	8	0	5	0	4	5	16	1	1	2	3	0
