Zotu34	d:Fungi(1.0000),p:Ascomycota(0.6600),c:Leotiomycetes(0.0726),o:Helotiales(0.0080),f:Myxotrichaceae(0.0008),g:Oidiodendron(0.0001)	+	d:Fungi
Zotu35	d:Fungi(1.0000),p:Ascomycota(0.5600),c:Saccharomycetes(0.1568),o:Saccharomycetales(0.0439),f:Metschnikowiaceae(0.0123),g:Metschnikowia(0.0034)	+	d:Fungi
Zotu36	d:Fungi(1.0000),p:Ascomycota(0.7500),c:Saccharomycetes(0.3675),o:Saccharomycetales(0.1801),f:Metschnikowiaceae(0.0828),g:Metschnikowia(0.0381),s:Metschnikowia_lochheadii_SH3313669.08FU(0.0046)	+	d:Fungi
Zotu37	d:Fungi(1.0000),p:Ascomycota(0.7300),c:Saccharomycetes(0.4599),o:Saccharomycetales(0.2897),f:Metschnikowiaceae(0.1796),g:Metschnikowia(0.1114),s:Metschnikowia_borealis_SH3313675.08FU(0.0223)	+	d:Fungi
Zotu38	d:Fungi(1.0000),p:Ascomycota(0.7000),c:Saccharomycetes(0.2730),o:Saccharomycetales(0.1065),f:Metschnikowiaceae(0.0383),g:Metschnikowia(0.0138)	+	d:Fungi
Zotu39	d:Fungi(1.0000),p:Ascomycota(0.6300),c:Saccharomycetes(0.1449),o:Saccharomycetales(0.0333),f:Metschnikowiaceae(0.0077),g:Metschnikowia(0.0018)	+	d:Fungi
Zotu40	d:Fungi(1.0000),p:Ascomycota(0.7200),c:Saccharomycetes(0.2592),o:Saccharomycetales(0.0933),f:Metschnikowiaceae(0.0308),g:Metschnikowia(0.0102),s:Metschnikowia_lochheadii_SH3313669.08FU(0.0012)	+	d:Fungi
Zotu41	d:Fungi(1.0000),p:Ascomycota(0.6900),c:Xylonomycetes(0.1035),o:Symbiotaphrinales(0.0155),f:Symbiotaphrinaceae(0.0023),g:Symbiotaphrina(0.0003),s:Symbiotaphrina_buchneri_SH1641879.08FU(0.0001)	+	d:Fungi
Zotu42	d:Fungi(1.0000),p:Basidiomycota(0.3400),c:Ustilaginomycetes(0.0442),o:Ustilaginales(0.0057),f:Ustilaginaceae(0.0007),g:Pseudozyma(0.0001)	+	d:Fungi
Zotu43	d:Fungi(1.0000),p:Ascomycota(0.6600),c:Leotiomycetes(0.1056),o:Helotiales(0.0169),f:Myxotrichaceae(0.0027),g:Oidiodendron(0.0004)	+	d:Fungi
Zotu44	d:Fungi(1.0000),p:Ascomycota(0.5800),c:Saccharomycetes(0.2610),o:Saccharomycetales(0.1175),f:Metschnikowiaceae(0.0517),g:Metschnikowia(0.0227),s:Metschnikowia_borealis_SH3313675.08FU(0.0020)	+	d:Fungi
Zotu45	d:Fungi(1.0000),p:Ascomycota(0.5900),c:Saccharomycetes(0.1947),o:Saccharomycetales(0.0643),f:Metschnikowiaceae(0.0199),g:Metschnikowia(0.0062)	+	d:Fungi
Zotu46	d:Fungi(1.0000),p:Ascomycota(0.6100),c:Saccharomycetes(0.1769),o:Saccharomycetales(0.0513),f:Metschnikowiaceae(0.0139),g:Metschnikowia(0.0037),s:Metschnikowia_cerradonensis_SH3227875.08FU(0.0004)	+	d:Fungi
Zotu47	d:Fungi(1.0000),p:Ascomycota(0.6500),c:Saccharomycetes(0.2080),o:Saccharomycetales(0.0666),f:Metschnikowiaceae(0.0193),g:Metschnikowia(0.0056)	+	d:Fungi
Zotu48	d:Fungi(1.0000),p:Ascomycota(0.7400),c:Leotiomycetes(0.0814),o:Helotiales(0.0090),f:Myxotrichaceae(0.0010),g:Oidiodendron(0.0001)	+	d:Fungi
Zotu49	d:Fungi(1.0000),p:Ascomycota(0.8000),c:Saccharomycetes(0.5440),o:Saccharomycetales(0.3699),f:Metschnikowiaceae(0.2330),g:Metschnikowia(0.1468)	+	d:Fungi,p:Ascomycota
Zotu50	d:Fungi(1.0000),p:Ascomycota(0.6100),c:Xylonomycetes(0.0671),o:Symbiotaphrinales(0.0074),f:Symbiotaphrinaceae(0.0008),g:Symbiotaphrina(0.0001),s:Symbiotaphrina_buchneri_SH1641879.08FU(0.0000)	+	d:Fungi
Zotu51	d:Fungi(1.0000),p:Ascomycota(0.5900),c:Saccharomycetes(0.1534),o:Saccharomycetales(0.0399),f:Metschnikowiaceae(0.0096),g:Metschnikowia(0.0023)	+	d:Fungi
Zotu52	d:Fungi(1.0000),p:Ascomycota(0.7200),c:Saccharomycetes(0.2376),o:Saccharomycetales(0.0784),f:Metschnikowiaceae(0.0227),g:Metschnikowia(0.0066)	+	d:Fungi
Zotu53	d:Fungi(1.0000),p:Ascomycota(0.6900),c:Saccharomycetes(0.2484),o:Saccharomycetales(0.0894),f:Metschnikowiaceae(0.0322),g:Metschnikowia(0.0116)	+	d:Fungi
Zotu54	d:Fungi(1.0000),p:Ascomycota(0.6100),c:Leotiomycetes(0.0732),o:Helotiales(0.0088),f:Myxotrichaceae(0.0008),g:Oidiodendron(0.0001)	+	d:Fungi
Zotu55	d:Fungi(1.0000),p:Ascomycota(0.6900),c:Leotiomycetes(0.0966),o:Helotiales(0.0135),f:Myxotrichaceae(0.0014),g:Oidiodendron(0.0001)	+	d:Fungi
Zotu56	d:Fungi(1.0000),p:Ascomycota(0.6100),c:Leotiomycetes(0.0793),o:Helotiales(0.0103),f:Myxotrichaceae(0.0013),g:Oidiodendron(0.0002)	+	d:Fungi
Zotu57	d:Fungi(1.0000),p:Ascomycota(0.7700),c:Saccharomycetes(0.2541),o:Saccharomycetales(0.0839),f:Metschnikowiaceae(0.0243),g:Metschnikowia(0.0071)	+	d:Fungi
Zotu58	d:Fungi(1.0000),p:Ascomycota(0.6600),c:Xylonomycetes(0.0660),o:Symbiotaphrinales(0.0066),f:Symbiotaphrinaceae(0.0007),g:Symbiotaphrina(0.0001),s:Symbiotaphrina_buchneri_SH1641879.08FU(0.0000)	+	d:Fungi
